total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
0.0,1.0,0,10,0.001,100000,566.3557751178741
0.0,1.0,0,20,0.001,100000,883.9712507724762
0.0,1.4270726642250493,1,30,0.001,100000,1144.2775099277496
0.0,1.4270726642250493,1,40,0.001,100000,1553.2081439495087
0.0,1.4270726642250493,1,50,0.001,100000,1907.2416951656342
0.0,1.4270726642250493,1,60,0.001,100000,2233.8036699295044
0.0,1.4270726642250493,1,70,0.001,100000,2570.8131198883057
413.457275390625,0.1453612534880066,0,80,0.001,100000,2882.110191822052
0.0,1.4270726642250493,1,90,0.001,100000,3234.833060979843
1089.759033203125,0.6947208294291826,1,100,0.001,100000,3582.8395640850067
0.0,1.4270726642250493,1,110,0.001,100000,3867.1223199367523
-224.22216796875,0.1931836797756974,0,120,0.001,100000,4239.06591796875
900.769775390625,0.42401055771227425,1,130,0.001,100000,4650.032423019409
0.0,1.4270726642250493,1,140,0.001,100000,4955.186813831329
1408.2607421875,0.28343948179127126,1,150,0.001,100000,4983.2700889110565
0.0,1.4270726642250493,1,160,0.001,100000,4930.0306391716
0.0,1.4270726642250493,1,170,0.001,100000,3738.2433609962463
0.0,1.4270726642250493,1,180,0.001,100000,3814.4795756340027
910.41064453125,1.126647289908388,1,190,0.001,100000,3937.543848991394
1549.9404296875,1.001125335558678,1,200,0.001,100000,4164.77165389061
